fincode,invdate,noshares,percent_aum,schemecode
132779,2026-05-31,650000,0.78,3628
132187,2026-05-31,1000000,0.77,3628
242461,2026-05-31,2500000,0.77,3628
208727,2026-05-31,869863,0.75,3628
100049,2026-05-31,2000000,0.69,3628
102355,2026-05-31,370000,0.69,3628
294320,2026-05-31,1050000,0.68,3628
293380,2026-05-31,452086,0.67,3628
200094,2026-05-31,3222026,0.56,3628
132522,2026-05-31,2250000,0.51,3628
217757,2026-05-31,560000,0.49,3628
209147,2026-05-31,489135,0.48,3628
209232,2026-05-31,855000,0.47,3628
228049,2026-05-31,470000,0.30,3628
322541,2026-05-31,1800000,0.28,3628
100104,2026-05-31,654928,0.22,3628
105726,2026-05-31,170193,0.18,3628
126947,2026-05-31,926074,0.14,3628
123642,2026-05-31,49000,0.11,3628
217714,2026-05-31,300000,0.00,3628
100180,2026-05-31,14571270,9.15,3626
132174,2026-05-31,7751866,8.22,3626
100325,2026-05-31,4795093,5.35,3626
100209,2026-05-31,5005170,4.90,3626
100247,2026-05-31,14032045,4.55,3626
100510,2026-05-31,1207988,4.15,3626
132454,2026-05-31,2661581,4.11,3626
100034,2026-05-31,5098481,3.91,3626
252306,2026-05-31,13229639,2.80,3626
132215,2026-05-31,2381792,2.59,3626
132538,2026-05-31,211312,2.05,3626
100520,2026-05-31,678726,1.74,3626
219494,2026-05-31,462426,1.68,3626
132500,2026-05-31,147414,1.63,3626
100820,2026-05-31,637856,1.44,3626
217389,2026-05-31,2840355,1.43,3626
100800,2026-05-31,1432141,1.42,3626
132540,2026-05-31,744598,1.42,3626
100112,2026-05-31,1733500,1.41,3626
223595,2026-05-31,405480,1.39,3626
100570,2026-05-31,4054257,1.35,3626
100114,2026-05-31,389026,1.34,3626
132921,2026-05-31,818174,1.25,3626
132755,2026-05-31,994282,1.24,3626
216156,2026-05-31,362067,1.24,3626
200132,2026-05-31,133804,1.18,3626
100312,2026-05-31,5233748,1.17,3626
100875,2026-05-31,4832556,1.17,3626
100470,2026-05-31,6311029,1.11,3626
235506,2026-05-31,2335081,1.09,3626
219300,2026-05-31,2761594,1.07,3626
132508,2026-05-31,1845106,1.07,3626
254493,2026-05-31,733731,1.05,3626
132187,2026-05-31,1220050,0.94,3626
132777,2026-05-31,1118525,0.94,3626
