fincode,invdate,percent_aum,schemecode
207979,2025-03-31,5.49,39448
217287,2025-03-31,1.03,39448
217287,2025-03-31,3.40,3450
217287,2025-03-31,0.78,3646
217285,2025-03-31,2.68,35846
293680,2025-03-31,0.08,35846
217287,2025-03-31,0.22,35846
207979,2025-03-31,1.26,46863
217641,2025-03-31,1.88,46863
217287,2025-03-31,0.01,46863
293680,2025-03-31,1.95,15687
217287,2025-03-31,0.67,15687
293680,2025-03-31,0.20,3230
218038,2025-03-31,0.30,3230
217287,2025-03-31,4.76,3230
293680,2025-03-31,5.75,2661
217639,2025-03-31,0.01,2661
217287,2025-03-31,1.40,2661
293680,2025-03-31,0.73,46358
217287,2025-03-31,2.51,46358
293680,2025-03-31,2.62,535
217287,2025-03-31,1.76,535
293680,2025-03-31,11.23,41872
217287,2025-03-31,0.68,41872
293680,2025-03-31,0.73,46359
217287,2025-03-31,1.96,46359
207979,2025-03-31,0.53,29571
217287,2025-03-31,1.86,29571
293680,2025-03-31,3.78,4378
217287,2025-03-31,-0.46,4378
218038,2025-03-31,0.09,46952
217287,2025-03-31,2.47,46952
293680,2025-03-31,6.17,520
217287,2025-03-31,2.22,520
293680,2025-03-31,4.41,2090
217287,2025-03-31,-1.28,2090
293680,2025-03-31,21.96,45439
217287,2025-03-31,2.92,45439
293680,2025-03-31,4.05,1281
217287,2025-03-31,2.14,1281
293680,2025-03-31,3.47,4324
217287,2025-03-31,0.10,4324
207979,2025-03-31,5.50,15652
217287,2025-03-31,-0.87,15652
293680,2025-03-31,0.75,13460
217287,2025-03-31,2.42,13460
218038,2025-03-31,0.38,46351
217287,2025-03-31,3.00,46351
293680,2025-03-31,0.06,48144
217287,2025-03-31,2.57,48144
293680,2025-03-31,8.62,2649
217639,2025-03-31,0.02,2649
217287,2025-03-31,1.46,2649
293680,2025-03-31,0.44,47714
217287,2025-03-31,2.42,47714
293680,2025-03-31,0.34,33580
217287,2025-03-31,-0.22,33580
207979,2025-03-31,0.08,46448
217641,2025-03-31,3.42,46448
217287,2025-03-31,-0.04,46448
217287,2025-03-31,3.17,21956
293680,2025-03-31,1.41,1274
217287,2025-03-31,1.98,1274
293680,2025-03-31,1.95,49120
217287,2025-03-31,0.78,49120
293680,2025-03-31,0.25,33579
217287,2025-03-31,-0.16,33579
217640,2025-03-31,4.22,3381
293680,2025-03-31,0.71,47190
217639,2025-03-31,0.00,47190
217287,2025-03-31,2.32,47190
293680,2025-03-31,1.39,46134
217287,2025-03-31,2.14,46134
293680,2025-03-31,8.52,45941
217287,2025-03-31,0.11,45941
293680,2025-03-31,0.07,46618
217287,2025-03-31,2.06,46618
207979,2025-03-31,0.60,49730
217287,2025-03-31,0.88,49730
207979,2025-03-31,0.83,210
217287,2025-03-31,2.28,210
217287,2025-03-31,2.38,48238
207979,2025-03-31,0.06,49127
217287,2025-03-31,4.13,49127
217287,2025-03-31,4.38,3560
293680,2025-03-31,1.91,17578
217287,2025-03-31,1.92,17578
293680,2025-03-31,3.58,2262
217287,2025-03-31,1.63,2262
293680,2025-03-31,0.18,33578
217287,2025-03-31,-0.15,33578
293680,2025-03-31,0.39,2955
217639,2025-03-31,3.85,2955
293680,2025-03-31,0.22,46620
217287,2025-03-31,1.36,46620
293680,2025-03-31,3.70,46633
217287,2025-03-31,1.02,46633
207979,2025-03-31,0.81,46950
217287,2025-03-31,2.95,46950
217287,2025-03-31,2.48,35818
293680,2025-03-31,13.94,41901
217639,2025-03-31,0.25,41901
217285,2025-03-31,82.04,41901
217287,2025-03-31,0.03,41901
293680,2025-03-31,3.57,31014
217287,2025-03-31,0.56,31014
217287,2025-03-31,2.78,3581
207979,2025-03-31,18.21,49709
217641,2025-03-31,0.67,49709
217287,2025-03-31,-15.59,49709
293680,2025-03-31,0.82,48473
217287,2025-03-31,-0.70,48473
293680,2025-03-31,0.23,46872
217287,2025-03-31,0.76,46872
293680,2025-03-31,0.28,8016
217287,2025-03-31,-0.11,8016
207979,2025-03-31,92.33,43376
217287,2025-03-31,0.81,43376
293680,2025-03-31,1.95,46703
217287,2025-03-31,0.94,46703
293680,2025-03-31,1.45,46814
217639,2025-03-31,0.00,46814
217287,2025-03-31,0.93,46814
207979,2025-03-31,87.60,42955
217641,2025-03-31,0.06,42955
217287,2025-03-31,-0.02,42955
293680,2025-03-31,99.61,48119
217287,2025-03-31,0.39,48119
217285,2025-03-31,3.56,36894
293680,2025-03-31,0.49,36894
217287,2025-03-31,0.36,36894
293680,2025-03-31,1.12,49708
217287,2025-03-31,2.53,49708
293680,2025-03-31,0.13,47331
217287,2025-03-31,3.12,47331
217640,2025-03-31,2.46,28458
293680,2025-03-31,3.42,49467
217287,2025-03-31,7.09,49467
293680,2025-03-31,0.50,13350
217287,2025-03-31,-0.15,13350
217287,2025-03-31,-0.29,46409
217287,2025-03-31,-0.29,49144
293680,2025-03-31,7.83,19756
217287,2025-03-31,0.99,19756
293680,2025-03-31,4.52,22532
217287,2025-03-31,-0.28,22532
293680,2025-03-31,5.78,5902
217287,2025-03-31,1.30,5902
217287,2025-03-31,0.01,47577
217640,2025-03-31,1.29,3396
293680,2025-03-31,5.83,49465
217287,2025-03-31,-1.54,49465
293680,2025-03-31,2.18,2085
217287,2025-03-31,-0.09,2085
293680,2025-03-31,4.81,36914
217287,2025-03-31,-0.85,36914
293680,2025-03-31,0.65,1090
217639,2025-03-31,0.00,1090
217287,2025-03-31,1.36,1090
293680,2025-03-31,2.65,41332
217287,2025-03-31,-0.16,41332
293680,2025-03-31,3.80,45447
217287,2025-03-31,0.99,45447
217285,2025-03-31,84.58,42000
293680,2025-03-31,6.68,42000
217639,2025-03-31,0.30,42000
293680,2025-03-31,7.60,2154
217287,2025-03-31,-3.42,2154
293680,2025-03-31,1.05,46453
217287,2025-03-31,0.51,46453
207979,2025-03-31,94.80,48746
217287,2025-03-31,0.94,48746
207979,2025-03-31,3.54,45992
217287,2025-03-31,5.29,45992
293680,2025-03-31,3.94,43023
217287,2025-03-31,0.59,43023
293680,2025-03-31,0.65,47601
217639,2025-03-31,0.00,47601
