fincode,invdate,percent_aum,schemecode
1134491,2026-05-31,0.43,1659
1133735,2026-05-31,0.43,1659
1134261,2026-05-31,0.42,1659
1134428,2026-05-31,0.42,1659
1134494,2026-05-31,0.42,1659
1134474,2026-05-31,0.42,1659
1133144,2026-05-31,0.34,1659
1133147,2026-05-31,0.34,1659
1133146,2026-05-31,0.34,1659
1133145,2026-05-31,0.34,1659
1133512,2026-05-31,0.34,1659
1133513,2026-05-31,0.34,1659
1133938,2026-05-31,0.34,1659
1133486,2026-05-31,0.34,1659
1133729,2026-05-31,0.34,1659
1134497,2026-05-31,0.34,1659
1129205,2026-05-31,0.30,1659
1133149,2026-05-31,0.30,1659
1133939,2026-05-31,0.30,1659
1134269,2026-05-31,0.30,1659
1134209,2026-05-31,0.29,1659
1131095,2026-05-31,0.26,1659
1134359,2026-05-31,0.25,1659
1134475,2026-05-31,0.25,1659
1134431,2026-05-31,0.25,1659
1134490,2026-05-31,0.25,1659
1129817,2026-05-31,0.21,1659
1133150,2026-05-31,0.21,1659
1133129,2026-05-31,0.17,1659
1133379,2026-05-31,0.17,1659
1134476,2026-05-31,0.17,1659
1134441,2026-05-31,0.17,1659
1133148,2026-05-31,0.13,1659
1130924,2026-05-31,0.13,1659
1133331,2026-05-31,0.09,1659
1133708,2026-05-31,0.04,1659
1133412,2026-05-31,6.18,1659
1133730,2026-05-31,4.44,1659
1134455,2026-05-31,3.40,1659
1134392,2026-05-31,1.28,1659
1129399,2026-05-31,0.68,1659
1129508,2026-05-31,0.09,1659
1132093,2026-05-31,0.03,1659
1132314,2026-05-31,0.01,1659
1115804,2026-05-31,1.16,8029
1118495,2026-05-31,0.77,8029
1107248,2026-05-31,0.69,8029
1116666,2026-05-31,0.53,8029
1118607,2026-05-31,0.31,8029
1118653,2026-05-31,0.09,8029
1058631,2026-05-31,0.05,8029
1115503,2026-05-31,0.05,8029
1056488,2026-05-31,0.04,8029
1057469,2026-05-31,0.03,8029
1057472,2026-05-31,0.01,8029
1124664,2026-05-31,0.01,8029
1133928,2026-05-31,2.20,8029
1134212,2026-05-31,2.19,8029
1133376,2026-05-31,1.95,8029
1134341,2026-05-31,1.76,8029
1130127,2026-05-31,1.40,8029
1128941,2026-05-31,1.37,8029
1133705,2026-05-31,1.33,8029
1134413,2026-05-31,1.31,8029
1133888,2026-05-31,1.15,8029
1133465,2026-05-31,0.89,8029
1133738,2026-05-31,0.89,8029
1134449,2026-05-31,0.88,8029
1133927,2026-05-31,0.88,8029
1134258,2026-05-31,0.88,8029
1134453,2026-05-31,0.88,8029
1134410,2026-05-31,0.88,8029
1134458,2026-05-31,0.88,8029
1134553,2026-05-31,0.87,8029
1134502,2026-05-31,0.87,8029
1130215,2026-05-31,0.76,8029
1134342,2026-05-31,0.70,8029
1132948,2026-05-31,0.44,8029
1133711,2026-05-31,0.44,8029
1129431,2026-05-31,0.44,8029
1134281,2026-05-31,0.44,8029
1134203,2026-05-31,0.44,8029
1134436,2026-05-31,0.44,8029
1131764,2026-05-31,0.38,8029
1133787,2026-05-31,0.35,8029
1133901,2026-05-31,0.35,8029
1131567,2026-05-31,0.25,8029
1130981,2026-05-31,0.18,8029
1130568,2026-05-31,0.18,8029
1133431,2026-05-31,0.18,8029
1134304,2026-05-31,0.13,8029
1133102,2026-05-31,0.09,8029
1131834,2026-05-31,0.04,8029
1128974,2026-05-31,0.02,8029
1131314,2026-05-31,0.02,8029
1130663,2026-05-31,0.01,8029
1133117,2026-05-31,3.11,8029
1133710,2026-05-31,1.77,8029
1133706,2026-05-31,1.33,8029
1133891,2026-05-31,1.33,8029
1133726,2026-05-31,1.33,8029
1133717,2026-05-31,1.33,8029
1133937,2026-05-31,1.33,8029
1133188,2026-05-31,0.98,8029
1133743,2026-05-31,0.93,8029
1133870,2026-05-31,0.89,8029
1133186,2026-05-31,0.89,8029
1134239,2026-05-31,0.89,8029
1134419,2026-05-31,0.89,8029
1133719,2026-05-31,0.89,8029
1134211,2026-05-31,0.88,8029
1134439,2026-05-31,0.87,8029
1134278,2026-05-31,0.79,8029
1134450,2026-05-31,0.79,8029
1133161,2026-05-31,0.71,8029
1133767,2026-05-31,0.71,8029
1133144,2026-05-31,0.71,8029
1133216,2026-05-31,0.71,8029
1134451,2026-05-31,0.70,8029
1134269,2026-05-31,0.61,8029
1133826,2026-05-31,0.53,8029
1133441,2026-05-31,0.53,8029
1133486,2026-05-31,0.53,8029
1134482,2026-05-31,0.52,8029
1134554,2026-05-31,0.52,8029
1133357,2026-05-31,0.44,8029
1133890,2026-05-31,0.44,8029
1133149,2026-05-31,0.44,8029
1133124,2026-05-31,0.44,8029
1133772,2026-05-31,0.44,8029
1133842,2026-05-31,0.44,8029
1134000,2026-05-31,0.44,8029
1133860,2026-05-31,0.44,8029
1133902,2026-05-31,0.44,8029
1134317,2026-05-31,0.44,8029
1134262,2026-05-31,0.44,8029
1134270,2026-05-31,0.44,8029
1134261,2026-05-31,0.44,8029
1134454,2026-05-31,0.44,8029
1134441,2026-05-31,0.44,8029
1129149,2026-05-31,0.40,8029
1133197,2026-05-31,0.36,8029
1133345,2026-05-31,0.36,8029
1130690,2026-05-31,0.36,8029
1132985,2026-05-31,0.36,8029
1133495,2026-05-31,0.36,8029
1133379,2026-05-31,0.36,8029
1133789,2026-05-31,0.35,8029
1134344,2026-05-31,0.35,8029
1134343,2026-05-31,0.35,8029
1134555,2026-05-31,0.35,8029
1134556,2026-05-31,0.35,8029
1133250,2026-05-31,0.31,8029
1133266,2026-05-31,0.27,8029
1129161,2026-05-31,0.27,8029
1133180,2026-05-31,0.27,8029
1133400,2026-05-31,0.27,8029
1128950,2026-05-31,0.27,8029
1133771,2026-05-31,0.27,8029
1133956,2026-05-31,0.27,8029
1134213,2026-05-31,0.26,8029
1134292,2026-05-31,0.26,8029
1134230,2026-05-31,0.26,8029
1134558,2026-05-31,0.26,8029
1133140,2026-05-31,0.22,8029
1133325,2026-05-31,0.18,8029
1133248,2026-05-31,0.18,8029
1133090,2026-05-31,0.18,8029
1133346,2026-05-31,0.18,8029
1133769,2026-05-31,0.18,8029
1134001,2026-05-31,0.18,8029
1134345,2026-05-31,0.18,8029
1134557,2026-05-31,0.18,8029
1133176,2026-05-31,0.17,8029
1130710,2026-05-31,0.13,8029
1130735,2026-05-31,0.09,8029
1129248,2026-05-31,0.09,8029
1134318,2026-05-31,0.09,8029
1131373,2026-05-31,0.04,8029
1133092,2026-05-31,3.18,8029
1133091,2026-05-31,2.20,8029
1132216,2026-05-31,1.97,8029
1134205,2026-05-31,0.88,8029
1132847,2026-05-31,0.71,8029
1132093,2026-05-31,0.62,8029
1133730,2026-05-31,0.44,8029
1128946,2026-05-31,0.30,8029
1115804,2026-05-31,0.74,293
1118495,2026-05-31,0.21,293
1117477,2026-05-31,0.11,293
1116974,2026-05-31,0.05,293
1107341,2026-05-31,0.05,293
1040497,2026-05-31,0.22,293
1133424,2026-05-31,2.57,293
1133711,2026-05-31,2.10,293
1134243,2026-05-31,2.07,293
1133738,2026-05-31,2.04,293
1133868,2026-05-31,1.99,293
1134253,2026-05-31,1.87,293
1130673,2026-05-31,1.58,293
1134462,2026-05-31,1.55,293
1133088,2026-05-31,1.52,293
1131300,2026-05-31,1.47,293
1134256,2026-05-31,1.45,293
1134502,2026-05-31,1.24,293
1134533,2026-05-31,1.24,293
1133304,2026-05-31,1.05,293
1133705,2026-05-31,1.05,293
1134258,2026-05-31,1.04,293
1134220,2026-05-31,1.04,293
1134222,2026-05-31,1.04,293
1134333,2026-05-31,1.04,293
1134332,2026-05-31,1.04,293
1134458,2026-05-31,1.03,293
1133466,2026-05-31,0.73,293
1133713,2026-05-31,0.73,293
1128941,2026-05-31,0.63,293
1133716,2026-05-31,0.63,293
1132948,2026-05-31,0.53,293
1133257,2026-05-31,0.53,293
1133305,2026-05-31,0.53,293
1133408,2026-05-31,0.52,293
1129551,2026-05-31,0.52,293
1134212,2026-05-31,0.52,293
1134203,2026-05-31,0.52,293
1134226,2026-05-31,0.52,293
1130127,2026-05-31,0.52,293
1134334,2026-05-31,0.52,293
1130429,2026-05-31,0.42,293
1133780,2026-05-31,0.42,293
1134312,2026-05-31,0.41,293
1131802,2026-05-31,0.21,293
1133928,2026-05-31,0.21,293
1129573,2026-05-31,0.10,293
1133442,2026-05-31,2.05,293
1133707,2026-05-31,1.51,293
1133090,2026-05-31,1.47,293
1133321,2026-05-31,1.16,293
1133143,2026-05-31,1.05,293
1133526,2026-05-31,1.05,293
1133785,2026-05-31,1.05,293
1133719,2026-05-31,1.05,293
1133865,2026-05-31,1.04,293
1134218,2026-05-31,1.04,293
1134211,2026-05-31,1.04,293
1134313,2026-05-31,1.04,293
1133498,2026-05-31,1.03,293
1133528,2026-05-31,1.00,293
1128766,2026-05-31,0.95,293
1130974,2026-05-31,0.84,293
1133323,2026-05-31,0.84,293
1133529,2026-05-31,0.84,293
1133794,2026-05-31,0.83,293
1134314,2026-05-31,0.83,293
1134480,2026-05-31,0.70,293
1133324,2026-05-31,0.63,293
1133530,2026-05-31,0.63,293
1133531,2026-05-31,0.63,293
1133929,2026-05-31,0.63,293
1134208,2026-05-31,0.62,293
1134315,2026-05-31,0.62,293
1133325,2026-05-31,0.53,293
1133326,2026-05-31,0.53,293
1130924,2026-05-31,0.53,293
1133532,2026-05-31,0.52,293
1133533,2026-05-31,0.52,293
1133534,2026-05-31,0.52,293
1134263,2026-05-31,0.52,293
1134316,2026-05-31,0.52,293
1134287,2026-05-31,0.52,293
